DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.0454772553764866,1,1,0.9,3,3,1.55555555555556
0.0497358894097353,1,1,0.925,3,3,1.55555555555556
0.0540482620347808,1,1,0.95,3,3,1.55555555555556
0.0584407568793173,1,1,0.975,3,3,1.55555555555556
0.0629423257130796,1,1,1,3,3,1.55555555555556
0.0675840307109633,1,1,1.025,3,3,1.55555555555556
0.0723989224130811,1,1,1.05,3,3,1.55555555555556
0.0774221437414583,1,1,1.075,3,3,1.55555555555556
0.0826911915510719,1,1,1.1,3,3,1.55555555555556
0.088246294033716,1,1,1.125,3,3,1.55555555555556
0.0941308795793803,1,1,1.15,3,3,1.55555555555556
0.100392123589155,1,1,1.175,3,3,1.55555555555556
0.107081566231632,1,1,1.2,3,3,1.55555555555556
0.114255797420886,1,1,1.225,3,3,1.55555555555556
0.121977205943872,1,1,1.25,3,3,1.55555555555556
0.130314787780539,1,1,1.275,3,3,1.55555555555556
0.13934500392846,1,1,1.3,3,3,1.55555555555556
0.149152669739183,1,1,1.325,3,3,1.55555555555556
0.159831844712591,1,1,1.35,3,3,1.55555555555556
0.171486672161616,1,1,1.375,3,3,1.55555555555556
0.184232089809874,1,1,1.4,3,3,1.55555555555556
0.198194292176645,1,1,1.425,3,3,1.55555555555556
0.213510769804265,1,1,1.45,3,3,1.55555555555556
0.230329674786003,1,1,1.475,3,3,1.55555555555556
0.248808162621437,1,1,1.5,3,3,1.55555555555556
0.269109234730297,1,1,1.525,3,3,1.55555555555556
0.291396455959254,1,1,1.55,3,3,1.55555555555556
0.315825758391938,1,1,1.575,3,3,1.55555555555556
0.342533395182085,1,1,1.6,3,3,1.55555555555556
0.371619032922924,1,1,1.625,3,3,1.55555555555556
0.403123067302619,1,1,1.65,3,3,1.55555555555556
0.436997666714701,1,1,1.675,3,3,1.55555555555556
0.473071993980616,1,1,1.7,3,3,1.55555555555556
0.511013738397002,1,1,1.725,3,3,1.55555555555556
0.550291620459971,1,1,1.75,3,3,1.55555555555556
0.590146722006729,1,1,1.775,3,3,1.55555555555556
0.629583594244501,1,1,1.8,3,3,1.55555555555556
0.66739360720116,1,1,1.825,3,3,1.55555555555556
0.702220870862001,1,1,1.85,3,3,1.55555555555556
0.732673553564285,1,1,1.875,3,3,1.55555555555556
0.757470705104203,1,1,1.9,3,3,1.55555555555556
0.775600193011552,1,1,1.925,3,3,1.55555555555556
0.786453465490004,1,1,1.95,3,3,1.55555555555556
0.789903883281632,1,1,1.975,3,3,1.55555555555556
0.786309151294361,1,1,2,3,3,1.55555555555556
0.776439946422065,1,1,2.025,3,3,1.55555555555556
0.76135676417078,1,1,2.05,3,3,1.55555555555556
0.742267168255544,1,1,2.075,3,3,1.55555555555556
0.720393726843912,1,1,2.1,3,3,1.55555555555556
0.696872594284899,1,1,2.125,3,3,1.55555555555556
0.672690062860196,1,1,2.15,3,3,1.55555555555556
0.648654337467714,1,1,2.175,3,3,1.55555555555556
0.625394266533826,1,1,2.2,3,3,1.55555555555556
0.603375367225472,1,1,2.225,3,3,1.55555555555556
0.582924687714988,1,1,2.25,3,3,1.55555555555556
0.564258325094597,1,1,2.275,3,3,1.55555555555556
0.547507731514475,1,1,2.3,3,3,1.55555555555556
0.532742796230308,1,1,2.325,3,3,1.55555555555556
0.519990965239733,1,1,2.35,3,3,1.55555555555556
0.509252423774193,1,1,2.375,3,3,1.55555555555556
0.500511755316702,1,1,2.4,3,3,1.55555555555556
0.493746635516927,1,1,2.425,3,3,1.55555555555556
0.488934122103302,1,1,2.45,3,3,1.55555555555556
0.48605503130113,1,1,2.475,3,3,1.55555555555556
0.2679648349897,1,2,0,3,1.44444444444444,3.94444444444444
0.0245350463838163,1,2,0.025,3,1.44444444444444,3.94444444444444
0.0146227801686966,1,2,0.05,3,1.44444444444444,3.94444444444444
0.010705783926428,1,2,0.075,3,1.44444444444444,3.94444444444444
0.00838952123866945,1,2,0.1,3,1.44444444444444,3.94444444444444
0.00691496043156527,1,2,0.125,3,1.44444444444444,3.94444444444444
0.00592857520983986,1,2,0.15,3,1.44444444444444,3.94444444444444
0.0052349114235011,1,2,0.175,3,1.44444444444444,3.94444444444444
0.00472266879291993,1,2,0.2,3,1.44444444444444,3.94444444444444
0.00432685575112476,1,2,0.225,3,1.44444444444444,3.94444444444444
0.00400841957165048,1,2,0.25,3,1.44444444444444,3.94444444444444
0.00374320861433398,1,2,0.275,3,1.44444444444444,3.94444444444444
0.00351587936194712,1,2,0.3,3,1.44444444444444,3.94444444444444
0.0033164422719361,1,2,0.325,3,1.44444444444444,3.94444444444444
